transaction_id,customer_id,product_id,quantity,total_amount,date,hour
T0009,C001,P001,1,8500,2020-01-09,7
T0008,C001,P014,2,90,2020-04-20,7
T0001,C001,P004,1,450,2020-07-06,15
T0012,C001,P004,1,450,2021-08-11,7
T0010,C001,P011,2,2400,2022-07-04,8
T0003,C001,P002,2,22000,2022-08-25,11
T0011,C001,P015,2,70,2022-11-09,10
T0007,C001,P017,2,360,2023-08-16,16
T0013,C001,P003,2,30000,2024-02-11,8
T0002,C001,P001,1,8500,2024-07-03,19
T0004,C001,P001,1,8500,2024-10-31,15
T0005,C001,P005,1,120,2024-12-09,7
T0006,C001,P004,1,450,2024-12-09,10
T0015,C002,P005,1,120,2020-06-15,14
T0016,C002,P004,2,900,2021-07-27,13
T0023,C002,P003,2,30000,2021-09-16,9
T0017,C002,P004,2,900,2021-11-10,9
T0014,C002,P003,1,15000,2022-12-19,18
T0020,C002,P005,1,120,2023-05-08,12
T0022,C002,P004,1,450,2024-01-22,9
T0018,C002,P005,1,120,2024-01-31,9
T0021,C002,P001,1,8500,2024-02-27,8
T0019,C002,P025,1,150,2024-07-01,7
T0024,C003,P016,1,320,2019-08-19,12
T0025,C003,P005,1,120,2021-01-22,7
T0036,C003,P012,1,750,2021-01-25,10
T0028,C003,P003,2,30000,2021-02-25,8
T0026,C003,P002,2,22000,2022-01-11,7
T0032,C003,P015,3,105,2022-09-02,9
T0031,C003,P004,1,450,2022-09-19,8
T0034,C003,P014,2,90,2023-01-20,14
T0030,C003,P003,2,30000,2023-11-24,13
T0035,C003,P022,2,110,2024-07-08,9
T0033,C003,P011,3,3600,2024-08-12,7
T0029,C003,P003,2,30000,2024-08-25,10
T0027,C003,P016,3,960,2024-11-01,7
T0049,C004,P002,1,11000,2020-04-24,10
T0040,C004,P013,1,120,2020-06-29,11
T0050,C004,P005,1,120,2020-07-30,10
T0042,C004,P012,3,2250,2020-11-30,8
T0046,C004,P001,2,17000,2021-03-11,9
T0048,C004,P005,2,240,2021-05-14,14
T0037,C004,P004,1,450,2021-06-14,8
T0038,C004,P002,2,22000,2021-09-21,15
T0044,C004,P003,2,30000,2021-09-29,8
T0047,C004,P002,1,11000,2022-05-09,13
T0043,C004,P003,2,30000,2022-12-26,15
T0045,C004,P004,2,900,2023-04-17,9
T0039,C004,P004,1,450,2023-04-19,7
T0041,C004,P003,2,30000,2023-07-29,7
T0051,C004,P001,2,17000,2024-07-01,7
T0061,C005,P012,1,750,2019-06-25,7
T0058,C005,P004,2,900,2019-11-18,7
T0057,C005,P004,2,900,2020-11-23,10
T0056,C005,P003,1,15000,2021-10-22,7
T0055,C005,P002,2,22000,2022-04-15,8
T0059,C005,P003,1,15000,2022-07-12,17
T0053,C005,P004,2,900,2022-09-26,19
T0060,C005,P003,1,15000,2024-01-25,10
T0054,C005,P015,4,140,2024-03-06,10
T0062,C005,P002,1,11000,2024-05-10,9
T0052,C005,P005,2,240,2024-05-21,7
T0064,C006,P005,1,120,2020-07-07,7
T0071,C006,P003,2,30000,2020-08-11,10
T0069,C006,P017,1,180,2020-08-25,14
T0076,C006,P003,2,30000,2021-03-30,9
T0065,C006,P012,2,1500,2021-05-05,8
T0074,C006,P005,2,240,2021-09-23,7
T0063,C006,P004,1,450,2021-10-13,15
T0068,C006,P001,2,17000,2021-12-21,17
T0066,C006,P001,2,17000,2023-05-22,9
T0072,C006,P003,2,30000,2023-10-15,8
T0073,C006,P005,2,240,2023-11-15,19
T0077,C006,P005,1,120,2024-02-27,8
T0067,C006,P005,2,240,2024-06-03,8
T0075,C006,P012,3,2250,2024-06-06,10
T0070,C006,P003,2,30000,2024-12-30,11
T0084,C007,P003,2,30000,2019-08-29,8
T0086,C007,P004,1,450,2020-06-05,7
T0082,C007,P005,2,240,2021-03-23,9
T0078,C007,P014,4,180,2021-11-04,10
T0085,C007,P001,1,8500,2022-05-03,8
T0079,C007,P011,3,3600,2022-06-13,9
T0083,C007,P022,3,165,2022-06-21,7
T0087,C007,P005,1,120,2022-07-22,10
T0081,C007,P013,3,360,2022-08-02,8
T0080,C007,P005,2,240,2023-01-02,9
T0088,C007,P014,3,135,2024-03-14,10
T0089,C008,P010,2,560,2021-11-28,8
T0100,C008,P008,2,1700,2021-12-09,10
T0104,C008,P010,1,280,2022-02-01,10
T0090,C008,P012,4,3000,2022-09-12,7
T0105,C008,P010,2,560,2022-09-12,7
T0092,C008,P007,2,44000,2022-11-01,8
T0103,C008,P010,1,280,2023-05-19,10
T0095,C008,P008,2,1700,2023-08-11,10
T0096,C008,P006,1,18000,2023-10-10,7
T0091,C008,P010,2,560,2023-12-27,9
T0098,C008,P012,2,1500,2023-12-28,9
T0102,C008,P009,2,700,2024-03-27,10
T0101,C008,P014,3,135,2024-06-10,9
T0097,C008,P010,1,280,2024-08-23,15
T0094,C008,P008,2,1700,2024-09-09,9
T0099,C008,P029,2,240,2024-11-29,18
T0093,C008,P007,1,22000,2024-12-25,8
T0108,C009,P010,1,280,2021-05-17,19
T0111,C009,P008,2,1700,2022-06-03,10
T0106,C009,P006,2,36000,2023-02-23,8
T0114,C009,P027,2,110,2023-05-17,7
T0107,C009,P003,2,30000,2023-05-31,10
T0112,C009,P012,1,750,2023-10-09,17
T0110,C009,P008,2,1700,2023-11-07,8
T0113,C009,P009,2,700,2024-07-06,8
T0109,C009,P013,1,120,2024-11-21,9
T0115,C010,P009,1,350,2019-12-24,8
T0120,C010,P011,3,3600,2020-02-25,9
T0116,C010,P008,2,1700,2021-10-18,7
T0117,C010,P015,1,35,2022-01-09,10
T0123,C010,P008,2,1700,2022-06-21,10
T0121,C010,P007,1,22000,2022-11-14,8
T0118,C010,P007,1,22000,2023-06-07,8
T0119,C010,P006,1,18000,2024-02-27,18
T0122,C010,P010,1,280,2024-10-10,10
T0134,C011,P009,2,700,2020-12-25,9
T0135,C011,P008,1,850,2021-07-06,9
T0141,C011,P007,1,22000,2021-08-04,12
T0133,C011,P006,2,36000,2021-09-13,10
T0131,C011,P012,3,2250,2022-01-12,9
T0128,C011,P013,3,360,2022-03-14,8
T0127,C011,P029,3,360,2022-06-13,11
T0125,C011,P014,1,45,2022-08-08,10
T0126,C011,P010,1,280,2022-12-02,15
T0140,C011,P007,1,22000,2022-12-09,9
T0139,C011,P015,2,70,2023-03-12,9
T0138,C011,P010,1,280,2023-04-04,10
T0124,C011,P006,2,36000,2023-05-20,15
T0132,C011,P013,1,120,2023-08-10,9
T0137,C011,P003,2,30000,2023-09-01,8
T0130,C011,P011,3,3600,2024-02-26,9
T0129,C011,P012,3,2250,2024-06-05,7
T0136,C011,P009,1,350,2024-11-01,8
T0144,C012,P015,3,105,2020-03-23,13
T0148,C012,P010,2,560,2020-06-12,19
T0142,C012,P006,1,18000,2020-06-27,8
T0149,C012,P006,1,18000,2020-07-18,17
T0150,C012,P009,1,350,2020-08-13,8
T0155,C012,P006,1,18000,2020-09-22,9
T0159,C012,P013,1,120,2020-11-06,10
T0146,C012,P006,1,18000,2021-03-08,10
T0143,C012,P010,2,560,2021-05-14,14
T0158,C012,P010,2,560,2021-05-25,7
T0153,C012,P007,1,22000,2022-07-11,10
T0152,C012,P010,2,560,2022-08-15,8
T0147,C012,P014,4,180,2022-09-20,7
T0156,C012,P010,2,560,2023-05-10,10
T0151,C012,P010,2,560,2023-10-03,10
T0145,C012,P011,2,2400,2023-11-29,9
T0154,C012,P008,1,850,2023-12-08,18
T0157,C012,P014,3,135,2024-04-01,9
T0167,C013,P026,2,90,2019-08-13,13
T0168,C013,P006,2,36000,2019-08-13,8
T0160,C013,P003,2,30000,2019-09-26,9
T0164,C013,P010,2,560,2019-11-07,10
T0162,C013,P011,4,4800,2020-02-03,10
T0176,C013,P008,1,850,2020-09-07,7
T0165,C013,P009,2,700,2021-02-08,9
T0171,C013,P009,1,350,2021-03-12,9
T0163,C013,P008,1,850,2021-04-27,7
T0174,C013,P012,2,1500,2021-06-10,7
T0175,C013,P003,1,15000,2021-07-19,13
T0173,C013,P012,3,2250,2022-01-06,10
T0170,C013,P006,2,36000,2022-01-07,16
T0172,C013,P015,4,140,2022-02-25,12
T0166,C013,P010,2,560,2022-04-20,8
T0169,C013,P007,1,22000,2022-05-18,9
T0161,C013,P007,1,22000,2024-06-13,7
T0188,C014,P015,1,35,2020-01-27,9
T0191,C014,P015,2,70,2020-04-13,8
T0190,C014,P007,1,22000,2020-06-01,12
T0193,C014,P014,2,90,2020-11-09,10
T0187,C014,P006,1,18000,2021-04-12,9
T0179,C014,P006,2,36000,2021-04-13,9
T0192,C014,P011,3,3600,2021-11-05,10
T0194,C014,P010,2,560,2022-01-05,10
T0178,C014,P006,1,18000,2022-03-04,9
T0183,C014,P014,3,135,2022-06-27,9
T0180,C014,P006,2,36000,2022-12-28,7
T0181,C014,P005,1,120,2023-03-13,8
T0184,C014,P008,1,850,2023-05-08,9
T0185,C014,P010,2,560,2023-05-08,8
T0182,C014,P008,1,850,2023-07-19,7
T0177,C014,P010,2,560,2023-10-23,9
T0186,C014,P007,1,22000,2024-09-06,17
T0189,C014,P007,1,22000,2024-11-15,18
T0202,C015,P021,9,585,2020-08-03,19
T0204,C015,P029,3,360,2020-11-02,19
T0195,C015,P030,5,175,2021-04-04,10
T0199,C015,P018,2,500,2021-10-20,8
T0203,C015,P018,7,1750,2021-10-25,10
T0197,C015,P028,3,540,2023-01-01,10
T0198,C015,P027,3,165,2023-01-04,17
T0201,C015,P019,5,150,2024-05-20,10
T0196,C015,P021,4,260,2024-06-20,15
T0200,C015,P016,2,640,2024-06-27,8
T0221,C016,P020,4,100,2021-10-04,9
T0206,C016,P022,9,495,2022-01-20,7
T0210,C016,P022,3,165,2022-05-02,10
T0205,C016,P022,6,330,2022-05-19,9
T0211,C016,P016,6,1920,2022-09-10,9
T0208,C016,P028,4,720,2022-12-05,9
T0215,C016,P030,6,210,2023-01-26,7
T0213,C016,P016,5,1600,2023-06-08,10
T0209,C016,P020,7,175,2023-06-22,10
T0214,C016,P029,5,600,2023-06-23,10
T0219,C016,P024,3,105,2023-08-14,8
T0207,C016,P026,5,225,2023-09-29,7
T0217,C016,P020,2,50,2023-12-18,10
T0218,C016,P028,3,540,2024-01-05,11
T0220,C016,P020,4,100,2024-01-12,9
T0212,C016,P020,4,100,2024-03-25,8
T0216,C016,P022,7,385,2024-08-19,9
T0222,C016,P021,7,455,2024-10-16,9
T0228,C017,P019,8,240,2021-04-08,10
T0232,C017,P022,4,220,2021-11-05,11
T0233,C017,P023,8,360,2022-01-17,14
T0223,C017,P026,5,225,2022-03-02,7
T0224,C017,P029,4,480,2022-04-29,10
T0227,C017,P027,4,220,2023-02-24,8
T0230,C017,P030,4,140,2023-06-05,12
T0231,C017,P026,7,315,2023-08-24,8
T0225,C017,P016,8,2560,2023-08-28,7
T0229,C017,P027,8,440,2024-07-21,10
T0226,C017,P023,7,315,2024-11-12,9
T0245,C018,P029,4,480,2020-10-09,10
T0246,C018,P018,4,1000,2020-11-30,10
T0248,C018,P019,2,60,2020-12-07,9
T0240,C018,P024,8,280,2021-10-14,9
T0243,C018,P029,7,840,2022-01-13,16
T0234,C018,P026,4,180,2022-01-18,15
T0237,C018,P020,6,150,2022-02-16,10
T0239,C018,P019,5,150,2022-04-25,8
T0236,C018,P025,4,600,2022-07-15,7
T0247,C018,P021,9,585,2023-01-23,9
T0242,C018,P023,9,405,2023-03-01,9
T0235,C018,P025,5,750,2023-08-21,8
T0238,C018,P024,10,350,2024-02-28,9
T0241,C018,P027,4,220,2024-11-27,9
T0244,C018,P027,6,330,2024-12-02,18
T0249,C018,P019,3,90,2024-12-05,12
T0254,C019,P024,7,245,2021-02-15,10
T0257,C019,P027,3,165,2021-03-15,8
T0251,C019,P025,10,1500,2021-04-02,9
T0258,C019,P024,3,105,2021-11-16,10
T0256,C019,P019,3,90,2021-12-27,10
T0253,C019,P020,7,175,2022-09-14,10
T0250,C019,P018,6,1500,2024-02-26,8
T0255,C019,P026,8,360,2024-05-16,14
T0252,C019,P022,5,275,2024-06-04,9
T0264,C020,P028,6,1080,2019-11-11,9
T0265,C020,P024,5,175,2021-10-15,9
T0266,C020,P020,7,175,2022-01-27,8
T0261,C020,P022,7,385,2022-07-08,9
T0262,C020,P029,5,600,2022-12-12,9
T0259,C020,P025,8,1200,2023-01-13,10
T0260,C020,P029,7,840,2023-03-27,9
T0263,C020,P020,8,200,2023-08-25,9
T0268,C020,P027,6,330,2023-12-14,18
T0267,C020,P016,2,640,2024-01-09,8
T0271,C021,P027,4,220,2020-06-24,10
T0272,C021,P028,5,900,2020-06-26,7
T0284,C021,P026,7,315,2020-08-15,14
T0279,C021,P022,9,495,2020-08-17,8
T0281,C021,P022,9,495,2021-01-11,9
T0269,C021,P018,7,1750,2022-01-28,7
T0285,C021,P022,10,550,2022-02-11,8
T0278,C021,P018,4,1000,2022-02-15,7
T0274,C021,P016,7,2240,2022-02-17,9
T0286,C021,P020,5,125,2022-10-10,10
T0277,C021,P017,5,900,2022-12-14,9
T0273,C021,P020,5,125,2023-03-20,19
T0280,C021,P023,8,360,2024-02-23,15
T0270,C021,P025,9,1350,2024-06-03,13
T0282,C021,P029,4,480,2024-07-10,8
T0283,C021,P025,4,600,2024-09-09,9
T0275,C021,P018,3,750,2024-09-16,8
T0276,C021,P024,4,140,2024-11-29,10
T0291,C022,P035,11,825,2020-03-11,8
T0294,C022,P033,3,840,2020-07-03,7
T0298,C022,P033,12,3360,2020-10-04,9
T0299,C022,P033,9,2520,2020-10-12,8
T0290,C022,P034,9,4680,2021-07-18,10
T0302,C022,P034,6,3120,2021-09-27,10
T0293,C022,P035,10,750,2021-10-28,14
T0297,C022,P034,5,2600,2021-11-29,7
T0301,C022,P035,15,1125,2022-03-24,10
T0300,C022,P031,13,5850,2022-07-27,13
T0288,C022,P032,11,1045,2022-09-09,7
T0296,C022,P031,6,2700,2022-10-11,7
T0295,C022,P034,6,3120,2022-11-23,11
T0287,C022,P034,7,3640,2023-03-21,10
T0292,C022,P032,7,665,2023-07-12,11
T0303,C022,P033,11,3080,2024-04-03,11
T0289,C022,P041,1,180,2024-12-22,10
T0317,C023,P032,8,760,2019-12-12,10
T0315,C023,P033,11,3080,2020-07-06,8
T0313,C023,P033,11,3080,2020-11-09,18
T0314,C023,P033,10,2800,2021-01-04,10
T0307,C023,P033,14,3920,2021-04-06,8
T0309,C023,P045,2,440,2021-05-14,9
T0311,C023,P032,14,1330,2021-08-23,8
T0316,C023,P041,1,180,2022-07-04,11
T0304,C023,P045,2,440,2022-07-15,8
T0312,C023,P033,7,1960,2022-09-01,10
T0306,C023,P035,10,750,2022-12-12,8
T0305,C023,P034,3,1560,2024-04-24,8
T0310,C023,P035,15,1125,2024-07-08,10
T0308,C023,P034,9,4680,2024-09-09,8
T0324,C024,P032,12,1140,2022-01-03,9
T0323,C024,P041,1,180,2022-01-24,10
T0320,C024,P042,1,240,2022-02-21,8
T0322,C024,P032,13,1235,2022-10-24,12
T0321,C024,P033,9,2520,2023-07-12,9
T0318,C024,P035,3,225,2024-04-01,10
T0325,C024,P041,2,360,2024-07-02,10
T0319,C024,P033,15,4200,2024-07-18,10
T0332,C025,P044,3,255,2020-12-14,7
T0328,C025,P035,8,600,2021-04-05,19
T0327,C025,P032,4,380,2023-03-16,17
T0333,C025,P032,14,1330,2023-11-29,10
T0331,C025,P033,11,3080,2024-04-21,9
T0329,C025,P032,3,285,2024-05-05,9
T0330,C025,P032,15,1425,2024-08-12,10
T0326,C025,P043,2,700,2024-12-16,8
T0349,C026,P034,11,5720,2020-08-03,10
T0335,C026,P033,11,3080,2020-09-30,10
T0336,C026,P034,12,6240,2020-10-02,7
T0341,C026,P034,8,4160,2020-10-12,10
T0351,C026,P031,5,2250,2020-10-14,9
T0348,C026,P034,14,7280,2020-12-15,8
T0343,C026,P042,2,480,2021-11-10,14
T0334,C026,P034,10,5200,2021-12-13,9
T0344,C026,P034,12,6240,2021-12-20,10
T0340,C026,P031,12,5400,2022-03-14,10
T0345,C026,P033,4,1120,2022-04-14,9
T0337,C026,P033,14,3920,2022-05-02,7
T0347,C026,P032,15,1425,2022-08-19,12
T0339,C026,P033,9,2520,2022-12-09,9
T0350,C026,P034,12,6240,2023-03-23,19
T0338,C026,P042,1,240,2023-05-22,8
T0346,C026,P042,3,720,2023-06-30,7
T0342,C026,P034,13,6760,2024-09-06,10
T0358,C027,P031,14,6300,2019-07-12,8
